Location,Down Date,Product,Description,Mechanic Notes,Attatchment feauture,Status,Part Comment,Product #,Reporter,Category,Last Edited,Last Edited by,Mechanic,1 st attempt date,Edinger Part,Warner Part,Waterfront Part,Yorba Part
Yorba,7/6/2021,Double Surrey,Needs new seat for front row,,,,,1,Ruben,,7/6/2021,Robert Mounce,,,,,,
Yorba,7/6/2021,Single Surrey,Lose break,,,Done,,3,Ruben,Down,7/8/2021,Robert Mounce,,"July 8, 2021 10:00 AM",,,,
Edinger,7/7/2021,Chopper,Not reported (chain broke),,,Done,,,,Down,7/7/2021,Robert Mounce,,,,,,
Edinger,7/8/2021,Double Surrey,Test,,,Done,,Test,Nathan,Down,7/10/2021,Jonathan Soliz,,,,,,
Waterfront,7/9/2021,Deuce Coupe,Passenger side coaster brake,,,Planned,,.,Vince,Down,7/21/2021,Robert Mounce,Robert Mounce,"July 22, 2021",,,,
Edinger,7/10/2021,Single Surrey,Left driver peddle fell off,,,Done,,4,Emmanuel,Down,7/10/2021,Jonathan Soliz,,,,,,
Yorba,7/10/2021,Swan Boat,Boat is leaning towards one side,,,Done,,4,Norma,Down,7/21/2021,Robert Mounce,,"July 20, 2021",,,,
Yorba,7/10/2021,Chopper,Broken rear rim,,,Done,https://www.notion.so/20-Rim-for-Specialty-50705720525f4e42a297cf80f2e1876d,3,Norma,Down,7/18/2021,Jonathan Soliz,,,,,,
Edinger,7/10/2021,Double Surrey,Crank falling off,,,Done,,3,Jonathan,Down,7/10/2021,Jonathan Soliz,,,,,,
Edinger,7/10/2021,Single Surrey,Bent surrey top,,,Done,,6,Jonathan,Down,7/10/2021,Jonathan Soliz,,,,,,
Edinger,7/10/2021,Single Surrey,Left passenger peddle broke off,,,Done,,5,Emmanuel,Down,7/15/2021,Jonathan Soliz,,,,,,
Edinger,7/10/2021,Swan Boat,Sinking,,,"Done, Planned",,1,Emmanuel,Down,8/12/2021,Robert Mounce,Robert Mounce,"July 27, 2021 9:00 AM-10:15 AM",,,,
Waterfront,7/11/2021,Deuce Coupe,Brake adjustment,,,Done,,2,Jonathan,Down,7/11/2021,Jonathan Soliz,,,,,,
Waterfront,7/11/2021,Double Surrey,Popped front tire,,,Done,,4,Jonathan,Down,7/11/2021,Jonathan Soliz,,,,,,
Waterfront,7/11/2021,Single Surrey,Peddle missing,,,Done,,6,Jonathan,Down,7/11/2021,Jonathan Soliz,,,,,,
Yorba,7/11/2021,Double Surrey,Flat front tire,,,Done,,1,Norma,Down,7/18/2021,Jonathan Soliz,,,,,,
Yorba,7/11/2021,Chopper,Front tire rubbing on frame,,,Done,,4,Norma,Down,7/13/2021,Robert Mounce,,,,,,
